X,Y,WEATHER_STATIONS_ID,STATION_CODE,STATION_NAME,STATION_ACRONYM,LATITUDE,LONGITUDE,ELEVATION,INSTALL_DATE,OBJECTID
-123.564855557047,49.4280527637204,1,1002,TS ELPHINSTONE,FES,49.428047,-123.56484,593,2008/03/06 23:00:00+00,965058
-123.718946418287,48.8241945197126,2,1013,NORTH COWICHAN (EC),VOO,48.824189,-123.718931,60,2008/05/08 22:00:00+00,965059
-123.700015586881,49.4604885492442,3,1016,SECHELT (EC),VOU,49.460483,-123.7,86,2008/05/08 22:00:00+00,965060
-119.293598924692,52.1222561947724,4,1108,BLUE RIVER 2,FBL,52.12225,-119.293583,684,2011/06/27 22:00:00+00,965061
-124.614710308724,50.1035054665221,5,1025,TS THEODOSIA,FDS,50.1035,-124.614694,87,2008/07/16 22:00:00+00,965062
-121.836532058008,49.7234029784999,6,1040,BIG SILVER 2,FIG,49.723397,-121.836517,561,2009/06/17 22:00:00+00,965063
-120.381961910881,56.5583395249317,7,1045,OSBORN,FOB,56.558333,-120.381944,700,2009/06/29 22:00:00+00,965112
-121.654965505479,50.3511169288536,8,1055,SPLINTLUM,FUM,50.351111,-121.65495,424,2009/10/20 22:00:00+00,965113
-125.130904935602,50.2709221104068,9,1056,TS MAURELLE,FTE,50.270917,-125.130889,168,2010/03/09 23:00:00+00,965114
-123.387232271548,49.585505591182,10,1066,TS MCNABB,FSB,49.5855,-123.387217,154,2010/04/13 22:00:00+00,965115
-115.225291760824,49.0469508810526,11,1075,KOOCANUSA,FKC,49.046944,-115.225278,804,2010/06/09 22:00:00+00,965116
-120.411987744725,51.2111171170342,12,1082,MAYSON,FAY,51.211111,-120.411972,1315,2010/07/07 22:00:00+00,965117
-123.410015873144,50.619727830908,13,1083,MEAGER CREEK,FGR,50.619722,-123.41,545,2010/07/13 22:00:00+00,965118
-125.292915988761,50.0266053822576,14,1093,QUINSAM BASE FWX,FQB,50.0266,-125.2929,78,2010/09/29 22:00:00+00,965119
-126.433949554113,50.3701385552063,15,945,TS NAKA CREEK,FNX,50.370133,-126.433933,515,2006/08/08 22:00:00+00,965120
-137.576189289055,60.7729536605534,16,964,HAINES JUNCTION FIRE yfs,HJF,60.77295,-137.576167,610,2007/12/30 23:00:00+00,965121
-127.927620634191,60.0069381850331,17,965,IRON CREEK YFS,IRO,60.006933,-127.9276,684,2006/12/30 23:00:00+00,965122
-131.188354098988,60.0025046844623,18,967,SWIFT RIVER (YFS),SWI,60.0025,-131.188333,878,2006/12/30 23:00:00+00,965123
-125.164516376928,51.3735054429779,19,1387,PLUMMER HUT,,51.3735,-125.1645,2712,2019/10/22 22:00:00+00,965124
-120.173237227969,49.5557003619059,20,1392,MCNULTY EXT,,49.555694,-120.173222,1595,2020/10/05 22:00:00+00,965125
-125.121815732776,49.2074053726044,21,1398,TS NAHMINT,,49.2074,-125.1218,341,2020/07/27 22:00:00+00,965126
-120.74418198348,50.121394825061,22,1399,MERRITT 2 HUB,FMH,50.121389,-120.744167,640,2020/07/22 22:00:00+00,965127
-123.323183644649,53.8653946543009,23,175,BEDNESTI,FBD,53.865389,-123.323167,858,1995/06/24 22:00:00+00,965128
-126.517240494701,53.9867483347151,24,178,PEDEN,FPD,53.986743,-126.517223,747,1989/10/29 23:00:00+00,965129
-125.759800486069,54.2590474412605,25,181,BURNS LAKE 850M,FBU,54.259042,-125.759783,830,1994/01/09 23:00:00+00,965130
-123.764459344748,48.5161165010708,26,1141,MARTINS GULCH (CRD),CGU,48.516111,-123.764444,512,2012/08/26 22:00:00+00,965131
-123.749459360383,48.5861165056943,27,1143,4RW6 (CRD),4RW,48.586111,-123.749444,665,2012/08/26 22:00:00+00,965132
-121.637542957152,49.1040335707934,28,1144,FORD MOUNTAIN,FFN,49.104028,-121.637528,247,2012/08/21 22:00:00+00,965133
-121.651696768186,54.1695759817806,29,1165,SEVEREID,FID,54.16957,-121.65168,798,2013/11/05 23:00:00+00,965134
-123.706821350294,48.5722275094073,30,1166,NORTH BASIN (CRD),CNB,48.572222,-123.706806,180,2014/04/26 22:00:00+00,965135
-119.392487589785,51.3130894438012,31,1176,MUDPIT,FMP,51.313083,-119.392472,870,2014/06/14 22:00:00+00,965136
-116.950264380476,49.3576174132895,32,1203,DARKWOODS,FDW,49.357611,-116.95025,1657,2014/10/14 22:00:00+00,965137
-124.449882802344,49.8180224751239,33,1218,POWELL RIVER WEST LAKE,FPO,49.818017,-124.449867,164,2015/06/22 22:00:00+00,965138
-123.277115691026,50.0708056247315,34,1221,MOUNT CAYLEY,,50.0708,-123.2771,1592,2015/06/30 22:00:00+00,965139
-119.338626975343,52.8597284233252,35,1268,VALEMOUNT AIRPORT,FVM,52.859722,-119.338611,788,2016/08/21 22:00:00+00,965140
-129.093354041568,59.8928050076955,36,1270,OLD FADDY,FOF,59.8928,-129.093333,866,2016/08/22 22:00:00+00,965141
-126.262697389444,52.1345747260943,37,1275,APE LAKE,,52.134569,-126.262681,1414,2016/10/03 22:00:00+00,965142
-126.140761012963,51.6555859287796,38,1276,MACHMELL KLINIKLINI,,51.655581,-126.140744,1609,2016/10/01 22:00:00+00,965143
-119.569515009697,49.8832060485199,39,1277,WEST KELOWNA,FWK,49.8832,-119.5695,650,2016/10/31 22:00:00+00,965144
-123.033348656404,50.0833386536818,40,1283,CHEAKAMUS,FCM,50.083333,-123.033333,595,2017/05/10 22:00:00+00,965145
-119.176126265594,50.6905617378241,41,1323,LARCH HILLS WEST,,50.690556,-119.176111,892,2018/06/14 22:00:00+00,965146
-120.79251511175,49.4697002864263,42,1330,LODESTONE EXT,FLO,49.469694,-120.7925,1543,2018/07/05 22:00:00+00,965147
-119.220292580871,49.2700060539611,43,1332,GRIZZLY EXT,FGZ,49.27,-119.220278,1520,2018/07/05 22:00:00+00,965148
-121.490182369703,49.9736328311193,44,1339,BOOTHROYD,,49.973627,-121.490167,348,2018/08/19 22:00:00+00,965149
-125.769546469946,51.3800253676248,45,1348,KLINAKLINI,,51.38002,-125.76953,1532,2018/01/11 23:00:00+00,965150
-124.950197260098,51.101875460605,46,1349,HOMATHKO,,51.10187,-124.950181,1481,2018/01/11 23:00:00+00,965151
-126.356316200121,50.2257552604727,47,1350,LOWER CAIN,,50.22575,-126.3563,1295,2018/05/11 22:00:00+00,965152
-119.726959609604,50.4972282632688,48,1359,STATION BAY 2,,50.497222,-119.726944,1100,2019/05/29 22:00:00+00,965153
-126.032713176732,49.6102274792074,49,1362,TS BURMAN,,49.610222,-126.032697,77,2019/07/02 22:00:00+00,965154
-122.281126574314,49.8744501335404,50,1375,FRANK CREEK,FCT,49.874444,-122.281111,305,2019/05/22 22:00:00+00,965155
-130.678380340248,56.7116436792129,51,1377,FORRESTKERR,,56.711639,-130.678361,276,2019/07/14 22:00:00+00,965156
-127.079627413266,50.2678107739609,52,1378,TS ATLUCK,,50.267806,-127.079611,462,2019/07/15 22:00:00+00,965157
-124.758071333142,49.4038943230281,53,1383,CHEF CREEK TEST,,49.403889,-124.758056,456,2019/08/14 22:00:00+00,965158
-126.94833458162,54.8012382904062,54,182,GANOKWA,FGK,54.801233,-126.948317,844,1993/12/31 23:00:00+00,965159
-122.595766654743,53.4112836343005,55,187,HIXON,FHX,53.411278,-122.59575,615,1988/12/11 23:00:00+00,965160
-123.608794654137,53.4937835055899,56,189,CHILAKO,FCK,53.493778,-123.608778,814,1991/07/03 22:00:00+00,965161
-122.105516610385,53.5259503007708,57,190,JERRY,FJR,53.525944,-122.1055,997,1991/08/16 22:00:00+00,965162
-120.152793977466,53.2948394406816,58,195,MCBRIDE,FMR,53.294833,-120.152778,714,1980/08/12 22:00:00+00,965163
